32x aburner	冲破火网2 (欧洲)
32x aburnerju	冲破火网2 (美国) ~ After Burner Complete (日本)
32x bcracers	史前赛车 (美国)
32x blackthr	黑色荆棘之狠将奇兵 (美国)
32x brutal	野性释放-极巨之爪 (美国)
32x cosmicc	赛博争斗-宇宙屠杀 (欧洲)
32x darxide	黑暗边缘 (欧洲)
32x doom	DOOM-毁灭战士 (欧洲)
32x doomju	DOOM-毁灭战士 (日本, 美国)
32x doomp	DOOM-毁灭战士 (原型版, 19941201)
32x doomp1	DOOM-毁灭战士 (欧洲, 原型版, 19941002)
32x doomp2	DOOM-毁灭战士 (美国, 原型版, 19940928)
32x doomp3	DOOM-毁灭战士 (原型版, 19940925)
32x doomp4	DOOM-毁灭战士 (原型版, 19940923)
32x doomp5	DOOM-毁灭战士 (原型版, 19940921)
32x doomp6	DOOM-毁灭战士 (原型版, 19940916)
32x doomp7	DOOM-毁灭战士 (原型版, 19940914)
32x doomp8	DOOM-毁灭战士 (原型版, 19940909)
32x doomp9	DOOM-毁灭战士 (原型版, 19940906)
32x fifa96	FIFA足球96 (欧洲)
32x kolibri	蜂鸟 (欧洲, 美国)
32x metalhd	金属头 (欧洲)
32x metalhdju	金属头 (日本, 美国)
32x metalhdp	金属头 (日本, 美国, 原型版, 19941220)
32x metalhdp1	金属头 (日本, 美国, 原型版, 19941213)
32x metalhdp2	金属头 (日本, 美国, 原型版, 19941209)
32x metalhdp3	金属头 (日本, 美国, 原型版, 19941207-B)
32x metalhdp4	金属头 (日本, 美国, 原型版, 19941207)
32x metalhdp5	金属头 (日本, 美国, 原型版, 19941202)
32x metalhdp6	金属头 (日本, 美国, 原型版, 19941121)
32x metalhdp7	金属头 (日本, 美国, 原型版, 19941118)
32x metalhdp8	金属头 (日本, 美国, 原型版, 19941114)
32x mk2	真人快打2 (欧洲)
32x mk2ju	致命格斗2 (日本) ~ Mortal Kombat II (美国)
32x motox	越野摩托车锦标赛 (欧洲)
32x motoxp	越野摩托车锦标赛 (美国, 原型版, 19941111)
32x motoxpa	越野摩托车锦标赛 (美国, 原型版, 19941108)
32x motoxpb	越野摩托车锦标赛 (美国, 原型版, 19941107)
32x motoxpc	越野摩托车锦标赛 (美国, 原型版, 19941104)
32x motoxpd	越野摩托车锦标赛 (美国, 原型版, 19941103)
32x motoxpe	越野摩托车锦标赛 (美国, 原型版, 19941102-B)
32x motoxpf	越野摩托车锦标赛 (美国, 原型版, 19941102)
32x motoxpg	越野摩托车锦标赛 (美国, 原型版, 19941101)
32x motoxph	越野摩托车锦标赛 (美国, 原型版, 19941028)
32x motoxpi	越野摩托车锦标赛 (美国, 原型版, 19941024)
32x motoxpj	越野摩托车锦标赛 (美国, 原型版, 19941020)
32x motoxpk	越野摩托车锦标赛 (美国, 原型版, 19941019)
32x motoxpl	越野摩托车锦标赛 (美国, 原型版, 19941018)
32x motoxpm	越野摩托车锦标赛 (原型版, 19941017)
32x motoxpn	越野摩托车锦标赛 (原型版, 19941012)
32x motoxu	越野摩托车锦标赛 (美国)
32x pinochio	匹诺曹 (欧洲, 原型版 19951206)
32x pitfall	玛亚历险 (美国)
32x primal	原始之怒 (欧洲, 美国)
32x sangoku4	三国志 4 (日本)
32x sharrier	太空哈利 (欧洲)
32x sharrierju	太空哈利 (日本, 美国)
32x sharrierp	太空哈利 (原型版, 19940920)
32x soulstar	星魂X (美国, 原型版)
32x spidwebf	神奇蜘蛛侠-火网 (美国)
32x spotgo	七喜酷小子好莱坞之旅 (原型版)
32x stellar	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国)
32x stellarj	暗影中队-恒星突袭 (日本)
32x stellarp	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950313-B)
32x stellarp1	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950313)
32x stellarp2	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950306)
32x stellarp3	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950302)
32x stellarp4	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950222)
32x stellarp5	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950213)
32x stellarp6	暗影中队-恒星突袭 (欧洲) ~ Shadow Squadron (美国) (原型版, 19950206)
32x stsfleet	星际迷航-星舰学院 (美国)
32x swa	星球大战-街机版 (欧洲)
32x swaj	星球大战-街机版 (日本)
32x swap	星球大战-街机版 (欧洲, 原型版, 19941007-B)
32x swap1	星球大战-街机版 (欧洲, 原型版, 19941006-P)
32x swap10	星球大战-街机版 (美国, 原型版, 19940914-D)
32x swap11	星球大战-街机版 (美国, 原型版, 19940913-B)
32x swap12	星球大战-街机版 (美国, 原型版, 19940912)
32x swap13	星球大战-街机版 (原型版, 19940909)
32x swap14	星球大战-街机版 (原型版, 19940907)
32x swap15	星球大战-街机版 (原型版, 19940906)
32x swap16	星球大战-街机版 (原型版, 19940901)
32x swap17	星球大战-街机版 (原型版, 19940830)
32x swap2	星球大战-街机版 (日本, 原型版, 19941005)
32x swap3	星球大战-街机版 (日本, 原型版, 19941003)
32x swap4	星球大战-街机版 (日本, 原型版, 19940930-B)
32x swap5	星球大战-街机版 (欧洲, 原型版, 19940929)
32x swap6	星球大战-街机版 (原型版, 19940923)
32x swap7	星球大战-街机版 (美国, 原型版, 19940918)
32x swap8	星球大战-街机版 (美国, 原型版, 19940916)
32x swap9	星球大战-街机版 (原型版, 19940915)
32x swau	星球大战-街机版 (美国)
32x tempo	节奏 (日本, 美国)
32x tempop	节奏 (美国, 原型版, 19950207)
32x tempop1	节奏 (美国, 原型版, 19950206)
32x tempop2	节奏 (美国, 原型版, 19950206-B)
32x tempop3	节奏 (美国, 原型版, 19950204)
32x tempop4	节奏 (美国, 原型版, 19950126)
32x tempop5	节奏 (美国, 原型版, 19950124)
32x tempop6	节奏 (原型版, 19950121)
32x tempop7	节奏 (原型版, 19941229)
32x tmek	军阀 (欧洲, 美国)
32x toughman	硬汉争霸 (欧洲, 美国)
32x vf	VR战士 (欧洲)
32x vfju	VR战士 (日本, 美国)
32x vfp	VR战士 (美国, 原型版, 19950725)
32x vfp1	VR战士 (美国, 原型版, 19950724)
32x vfp2	VR战士 (美国, 原型版, 19950721)
32x vfp3	VR战士 (美国, 原型版, 19950717)
32x vfp4	VR战士 (原型版, 19950630)
32x vfp5	VR战士 (原型版, 19950615)
32x vfp6	VR战士 (原型版, 19950530)
32x vham	虚拟仓鼠 (美国, 原型版)
32x vrdx	虚拟赛车-豪华版 (欧洲)
32x vrdxj	虚拟赛车-豪华版 (日本)
32x vrdxp	虚拟赛车-豪华版 (美国, 原型版, 19940905)
32x vrdxp1	虚拟赛车-豪华版 (美国, 原型版, 19940829)
32x vrdxp2	虚拟赛车-豪华版 (原型版, 19940822)
32x vrdxu	虚拟赛车-豪华版 (美国)
32x wsb	迪昂桑德斯-世界系列棒球 (美国)
32x wwfag	WWF狂热职业摔跤-街机游戏 (美国)
32x wwfraw	WWF世界摔角联盟 (世界)
32x xmen	X战警 (美国, 原型版)
a2600 32in1	32 合 1 (PAL)
a2600 actforce	暴逆先锋 (PAL)
a2600 airraid	空袭 (PAL)
a2600 alien	异形 (20th Century Fox)
a2600 alienc	异形 (CCE)
a2600 amidar	雷达
a2600 amidare	雷达 (PAL)
a2600 angriff	安格里夫的空袭
a2600 artduel	火炮决斗
a2600 artduele	火炮决斗 (PAL)
a2600 assault	星河战队
a2600 asterix	美丽新世界 - 阿斯特瑞克斯 (PAL)
a2600 asterixp	美丽新世界 - 阿斯特瑞克斯 (NTSC, 原型版)
a2600 asteroid	小行星
a2600 asteroid1	小行星 (较老的?)
