Arcade: Arcade / Pinball	街机: 街机 / 弹球
Arcade: Arcade / Pinball * Mature *	街机: 街机 / 弹球 * 成人 *
Arcade: Arcade / Strength Tester	街机: 街机 / 力量 测试
Arcade: Ball & Paddle / Breakout	街机: 球 & 拍 / 打砖块
Arcade: Ball & Paddle / Breakout * Mature *	街机: 球 & 拍 / 打砖块 * 成人 *
Arcade: Ball & Paddle / Jump and Touch	街机: 球 & 拍 / 触摸跳跃
Arcade: Ball & Paddle / Misc.	街机: 球 & 拍 / 杂.
Arcade: Ball & Paddle / Pong	街机: 球 & 拍 / Pong
Arcade: Casino / Bingo	街机: 赌场 / 宾戈游戏
Arcade: Casino / BlackJack	街机: 赌场 / BlackJack 21点
Arcade: Casino / Cards	街机: 赌场 / 纸牌
Arcade: Casino / Cards * Mature *	街机: 赌场 / 纸牌 * 成人 *
Arcade: Casino / Dice	街机: 赌场 / 骰子
Arcade: Casino / Horse Racing	街机: 赌场 / 赛马
Arcade: Casino / Lottery	街机: 赌场 / 彩票
Arcade: Casino / Misc.	街机: 赌场 / 杂.
Arcade: Casino / Misc. * Mature *	街机: 赌场 / 杂. * 成人 *
Arcade: Casino / Multi-Games	街机: 赌场 / 多游戏
Arcade: Casino / Multiplay	街机: 赌场 / 多人游戏
Arcade: Casino / Racing	街机: 赌场 / 速度竞赛
Arcade: Casino / Roulette	街机: 赌场 / 轮盘赌
Arcade: Casino / Skill Game	街机: 赌场 / 技巧 游戏
Arcade: Casino / Unknown	街机: 赌场 / 未知
Arcade: Climbing / Building	街机: 攀爬 / 建筑
Arcade: Climbing / Mountain - Wall	街机: 攀爬 / 山 - 墙
Arcade: Climbing / Tree - Plant	街机: 攀爬 / 树 - 植物
Arcade: Driving / Ambulance Guide	街机: 驾驶 / 救护车
Arcade: Driving / Catch	街机: 驾驶 / 捕捉
Arcade: Driving / Demolition Derby	街机: 驾驶 / 德比碰撞
Arcade: Driving / FireTruck Guide	街机: 驾驶 / 消防车
Arcade: Driving / Guide and Collect	街机: 驾驶 / 驾驶 收集
Arcade: Driving / Guide and Shoot	街机: 驾驶 / 驾驶 射击
Arcade: Driving / Landing	街机: 驾驶 / 登陆
Arcade: Driving / Misc.	街机: 驾驶 / 杂.
Arcade: Driving / Motorbike	街机: 驾驶 / 摩托车
Arcade: Driving / Motorbike (Motocross)	街机: 驾驶 / 摩托车 (摩托车越野赛)
Arcade: Driving / Truck Guide	街机: 驾驶 / 卡车
Arcade: Electromechanical / Basketball	街机: 电子机械 / 篮球
Arcade: Electromechanical / Beat Up	街机: 电子机械 / 殴打
Arcade: Electromechanical / Bingo	街机: 电子机械 / 宾戈游戏
Arcade: Electromechanical / Bowling	街机: 电子机械 / 保龄球
Arcade: Electromechanical / Car Riding	街机: 电子机械 / 驾驶轿车
Arcade: Electromechanical / Change Money	街机: 电子机械 / Change Money
Arcade: Electromechanical / Coin-Operated Rocking Games	街机: 电子机械 / Coin-Operated Rocking Games
Arcade: Electromechanical / Crane Machine	街机: 电子机械 / Crane Machine 娃娃机?
Arcade: Electromechanical / Darts	街机: 电子机械 / 飞镖
Arcade: Electromechanical / Hockey Table	街机: 电子机械 / 曲棍球 Table
Arcade: Electromechanical / Misc.	街机: 电子机械 / 杂.
Arcade: Electromechanical / Pinball	街机: 电子机械 / 弹球
Arcade: Electromechanical / Reels	街机: 电子机械 / Reels
Arcade: Electromechanical / Shooter	街机: 电子机械 / 射击者
