10-Yard Fight	十码大战
18 Wheeler	18 轮大卡车
194X	
Ace Driver	A 级方程式赛车
Aero Fighters	四国战机
After Burner	冲破火网
Air Combat	皇牌空战
Air Duel	空战双鹰
All Japan Pro Wrestling	全日本职业摔角
Alpha Mission	阿尔法任务
Alpine Racer	高山滑雪比赛
Amidar	占地金刚
Animal Bonus	动物奖分
Area 51	战区 51
Aristocrat MK Hardware	Aristocrat MK 硬件
Arkanoid	打砖块
Arm Champs	武装合集
Armored Warriors	机甲战士
Art of Fighting	龙虎之拳
Ashita no Joe	小拳王
Asteroids	小行星
Astro Fighter	宇宙战机
Asura	血剑王朝
Athena	雅典娜
AV Hanafuda	AV花札
AV2Mahjong	AV2 麻将
Bagman	推销员
Baraduke	爆突
Bare Knuckle	怒之铁拳
Baseball Stars	棒球之星
Battle Balls	战球
Battle Flip Shot	盾牌大战
Battle Garegga	空战之路
Battle Gear	格斗赛车
Beast Busters	野兽突袭
beatmania	狂热节拍
Berzerk	迷宫射击
Big Buck Hunter	雄鹿猎人
Big Pro Wrestling!	大职业摔跤
Birdie King	小鸟球之王
Bishi Bashi	徐徐大作战
Bishoujo Janshi Pretty Sailor	美少女雀士 漂亮水手
Black Rhino	黑犀牛
Blockade	贪食蛇 - 封锁
Bloody Roar	兽化格斗
Bomber Man	炸弹人
BombJack	炸弹杰克
Bosconian	太空驱逐舰
Boulder Dash	推石小子
Breaker's	爆裂人
Bubble Bobble	魔幻气泡
Buena Suerte	幸运奖分
Burger Time	汉堡时代
Cabal	勇士们
Cal Omega	欧米伽
Capcom World	卡普空世界
Casino Fever	赌场 热
Casino Strip	赌场 纸牌机
Centipede	蜈蚣
Champion Baseball	冠军棒球
Champion Poker	扑克冠军
Chase H.Q.	追踪 H.Q.
Cherry Master	樱桃水果盘
Chuugokuryuu	中国龙
Cleopatra Fortune	埃及艳后宝石方块
Club Kart	卡丁车俱乐部
Columns	魔法宝石
Commando	战场之狼
Contra	魂斗罗
Cookie & Bibi	曲吉鼠解谜
Cosmic	宇宙的
Cotton	棉花小魔女
Crackin' DJ	DJ 主打
Crazy Climber	疯狂爬梯者
Crazy Kong	大金刚
Crime Fighters	罪恶战士
Crime Patrol	罪恶巡逻 1.51版
Cross Pang	表情气泡
Crown Golf	冠军高尔夫球
Cruis'n USA	极速狂飙
Crush Roller	顽皮鬼
Crystal Gal Mahjong	水晶女孩
Crystal Maze	迷宫传奇
Cyber Sled	究极坦克
Cyberball	未来橄榄球
Dance Dance Revolution	劲舞革命
Dance Maniax	疯狂劲舞
Dancing Stage	劲舞革命
Danger Zone	危险地带
Darius	太空战斗机
Dark Seal	暗黑封印
Darkstalkers	恶魔猎人
Darwin	达文战机
Date Quiz Go Go	约会问答大作战
Daytona USA	梦游美国
Dead or Alive	死或生
Deathsmiles	死亡微笑
Defender	防卫者
Denjin Makai	电神魔傀
Densha de GO!	电车 GO
Derby Owners Club	养马俱乐部 Club
Dig Dug	挖金子
Dinosaur King	古代王者 恐龙王
DJ Boy	DJ 男孩
Donkey Kong	大金刚
DonPachi	首领蜂
Double Dragon	双截龙
Dragon Ball Z	龙珠 Z
Dragon Spirit	龙魂
Dragon Treasure	龙之秘宝
Dragon World	中国龙
Dragon's Lair	龙穴历险记
Drift Out	越野赛车
DrumMania	青春鼓王
Dungeons & Dragons	地狱神龙 弹珠台
Dunk Shot	大扣篮
Dynablaster	炸弹人
Dynamite Baseball	爆裂棒球
Dynamite Deka	终极警探
Dynamite Dux	怪鸭冒险记
Dynasty Wars	吞食天地
E-Jan	E 麻将
Elevator Action	电梯大战
Emergency Call Ambulance	非常救护车
Empire City	帝都
Enchanted Forest	魔法森林
ESP Ra.de.	长空超少年
E-Swat Cyber Police	霹雳特警
E-Touch Mahjong	E-触摸麻将
Exciting Soccer	激情足球
F1 Exhaust Note	一级方程式 - 排器纪录
F-1 Grand Prix	一级方程式 GP 大赛
F1 Grand Prix Star	一级方程式 GP 巨星
F355 Challenge	法拉利 F355 挑战赛
Fantasia	天蚕变幻想曲
Fantasy Zone	神奇地带
Fatal Fury	饿狼传说
Fighter's History	斗士的历史
Fighting Vipers	格斗之蛇
Final Fight	快打旋风
Final Furlong	英国快打
Fire Shark	鲛! 鲛! 鲛!
Fisherman's Bait	渔夫的诱饵
Flying Shark	飞翔鲛
Forgotten Worlds	失落的世界
Frogger	青蛙过河
Fruit Bonus	水果奖分
Fun Cube	立方射击
F-Zero	零式赛车
Galaxian	小蜜蜂
Galaxy Force	银河之力
Galaxy Games	银河战争游戏
Gallop Racer	急速赛马
Gals Panic	天蚕变
Gauntlet	圣铠
Gee Bee	弹珠台砖块
Get Bass - Sega Bass Fishing	巴斯钓鱼 - 世嘉巴斯钓鱼
Ghost Squad	幽灵战队
Ghosts'n Goblins	魔界村
Giga Wing	雷鸟之翼
Gigas	十亿
Golden Axe	战斧
Golden Canaries	金丝雀
Golden Tee	金牌高尔夫
Golfing Greats	科乐美高尔夫
Golgo 13	阻击手 13
Golly! Ghost!	灵异双枪
Gonta!!	美女杀手
Gradius	宇宙巡航舰
Grand Striker	足球盛况
Great 1000 Miles Rally	1000 英里大师赛车
Great Sluggers	超级强打
Green Beret	绿色兵团
GTI Club	赛车俱乐部
Guilty Gear	罪恶装备
Guitar Freaks	疯狂吉他手
Gun & Frontier	枪之国度
Gun Dealer	美女枪手
Gun Fight	枪战
Gunbird	武装飞鸟
Gunblade	纽约风暴
Gunforce	钢炮部队
Gunlock	枪锁
Hang-On	世嘉摩托车大赛
Hard Drivin'	雅达利赛车 88
Hard Head	铁头小子
Hat Trick Hero	冠军杯足球赛
Hayaoshi Quiz	早押问答
Hayaoshi Taisen Quiz Hyhoo	早押对战问答
Head On	赛车精灵
Heavy Barrel	致命武器
Heavyweight Champ	重量拳击
Hi Pai Paradise	新超真实麻将
Hidden Catch	超级比一比
High Impact Football	狂野橄榄球
Hold & Spin	水果盘拉霸
House Mannequin	对家麻濡感
House of the Dead	死亡之屋
Hunting	打猎
Hyper Pacman	疯狂小精灵
Ibara	铸蔷薇
Idol Janshi Suchi-Pai	偶像雀士
Ikari	怒
Indy Atari	印地 Atari
Initial D	头文字 D
Interstellar	
Intrepid	电梯迷宫
Invinco	伊飞克入侵者
Jack Potten's Poker	杰克波滕扑克
Jan Jan Paradise	雀雀天堂
Janputer	纯真日语
Jikkyou Powerful Pro Yakyuu	实况棒球
Jockey Club	赛马俱乐部
Joe & Mac	战斗原始人
JoJo's Bizarre Adventure	乔乔的奇妙冒险
Joker Poker	鬼牌扑克
Jolly Card	快乐纸牌
Joust	鸵鸟骑士
Jurassic Park	侏罗纪公园
Karate Blazers	斗神光辉
Ketsui: Kizuna Jigoku Tachi	决意 - 绊地狱
Key of Avalon	阿瓦隆之匙
Keyboardmania	键盘高手
Kick and Run	足球大赛
Killer Instinct	杀手学堂
King of Fighters	拳皇
King of the Monsters	魔兽之王
Knights of Valour	三国战纪
Knuckle Bash	猫王
Kosodate Quiz My Angel	育婴问答 亲亲小宝贝
Kung-Fu Master	成龙踢馆
La Perla Nera	快乐啦啦队
Laser Quiz	极速问答
Last Blade	月华剑士
Last Fortress	牌砦
Led Storm	道路风暴
Lethal Enforcers	致命双枪
Lode Runner	淘金者
Logic Pro	逻辑 PRO
Long Hu Bang	龙虎榜
Looping	环球飞行
Lotto Fun	趣味乐透
Lucky 21	幸运21
Lucky 8 Lines	新幸运 8 线
Lupin The Third	鲁邦三世
Mad Dog	疯狗
Magic Card	魔法纸牌
Magical Drop	魔法方块
Magical Spot	摩斑射击
Magic's 10	魔法扑克
Mahjong Cafe	麻将咖啡屋
Mahjong Doukyuusei	麻将同级生
Mahjong Fight Club	麻将格斗俱乐部
Mahjong Gakuen	麻将学园 - 卒业编
Mahjong Gakuensai	麻将学园祭
Mahjong Hourouki	麻将放浪记
Mahjong Hyper Reaction	麻将双娇
Mahjong Kaguyahime	麻将妖姬
Mahjong Kakumei	麻将革命
Mahjong Shikaku	麻将刺客
Mahjong The Mysterious World	麻将世界的神秘
Mahjong Triple Wars	麻将三倍战争
Major League	棒球联盟
Major Title	主题高尔夫
Mappy	猫捉老鼠
Marble Madness	疯狂弹珠
Mario Bros.	马里奥兄弟
Mario Kart Arcade GP	马力欧卡丁车 街机版GP
Marvel Super Heroes	超级漫画英雄
Marvel Vs. Capcom	漫画英雄对卡普空
Match It	四川省 - 女子寮编
Mayjinsen	五月将棋
Medal Mahjong	奖章麻将
Mega Man	洛克人
MegaTouch	触屏
Melty Blood	月姬格斗
Metal Slug	合金弹头
Midnight Landing	月球登陆
Miss World	天蚕变
Mobile Suit Gundam	机动战士高达
Moero!!	
Monaco GP	摩纳哥GP赛车
Money In The Bank	合约保障金
Monopoly	大富翁
Moon Cresta	月冠登陆艇
More More	益智迷你游戏
Mortal Kombat	真人快打
Mr. Do!	嘟先生!
Mr. Driller	钻地先生
Multi Champ	合集游戏王
Multi Game	合集游戏
Mushihime-Sama	虫姬
Mushiking - The King Of Beetle	甲虫王者
Namco Classic Collection	南梦宫名作剧场
NBA Jam	NBA 篮球
Need for Speed	极速快感
Neo Print	
NFL Blitz	美国职业橄榄球闪电战 '97
Night Gal	晚间少女
Ninja-Kid	忍者君
Nova 2001	新星 2001
Numan Athletics	超能运动会
Odeon Twister	剧场龙捲风暴
Off Road	越野车队
Ojanko Yakata	雀子馆
Operation Wolf	乌兹冲锋枪 - 野狼行动
Oriental Legend	西游释厄传
Otenami Haiken	Otenami 拜见
Othello	奥赛罗
Out Run	环球世界
Out Zone	异域战将
P-47	
Paca Paca Passion	波卡热舞
Pachinko Gindama Shoubu	柏青哥银玉胜负
Pac-Man	吃豆人
Pang!	魔鬼气泡
Paradise	天蚕变 94 - 伊甸园
ParaParaParadise	劲舞天堂
Parodius	Q版沙罗曼蛇
Pasha Pasha	帕夏 帕夏
Percussion Freaks	狂热鼓手
Phoenix	火凤凰
Photo Play	相片播放
Photo Y2K	大家来找碴
Pinball Action	弹珠台
Pirate	海盗
Pit Boss	赌场大亨
Play Girls	美女砖王
Player's Edge	游戏者的利刃
Pocket Gal	美女花式桌球
Point Blank	枪林弹雨
Pole Position	顶尖赛手
Police 24/7	警察 24/7
Police 911	警察 911
Police Trainer	战警双枪
Pool 10	撞球 10
Popeye	大力水手
Pop'n Music	流行音乐
Pop'n Stage	流行舞台
Port Man	海男
Power Drift	动力甩尾
Power Instinct	豪血寺一族
Power Stone	能量宝石
Prehistoric Isle	原始岛
Primal Rage	恐龙格斗
Print Club	大头贴俱乐部
Pro Mahjong Kiwame	究极职业麻将
Psychic Force	超能力大战
Psyvariar	雷霆战机
Punch Mania	北斗神拳
Punch-Out!!	泰森拳击
Puyo Puyo	噗呦噗呦
Puzz Loop	谜球回路
Puzzle & Action	解谜 & 行动
Puzzle Bobble	泡泡龙
Puzzle-Dama	解谜气泡
Puzzli	大渔方块
Q*Bert	立体跳方块
Qix	电脑病毒防卫战
Quarter Horse	季度赛马
Quarterback	四分卫
Quiz Crayon Shinchan	问答 蜡笔小新
Quiz Daisousa Sen	问答大搜查线
Quiz Do Re Mi Fa Grand Prix	问答 基础音乐 Prix
Quiz Gakuen Paradise	问答 天堂学园
Quiz Kokology	问答 心理问答
Quiz Tonosama no Yabou	问答 信长之野望
Quizard	智力测验
Racing Jam	极度挑战
Rad Action	忍者君
Rad Mobile	飙风追逐
Radiant Silvergun	闪亮银枪
Radirgy	电波之剑
Raiden	雷电
Rail Chase	铁道逃生
Rally X	迷魂车 X
Rampage	城市大金刚
Rastan	王者之剑
Real Mahjong Haihai	麻将牌牌
Ridge Racer	山脊赛车
Rival Schools	决斗高校
Road Fighter	马路英雄
Road Riot	道路风暴
Robin's Adventure	罗宾汉历险记
Robocop	铁甲威龙
Robotron	机器人
Rock'n Tread	摇滚乐队 1
Rolling Thunder	滚雷
Royal Card	皇家纸牌
R-Type	异形战机
Run and Gun	大灌篮
Samba de Amigo	快乐桑巴
Samurai Aces	战国世纪
Samurai Shodown	侍魂
San Francisco Rush	旧金山大赛车
Savage Reign	风云默示录
Scramble	紧急起飞 混乱
SD Gundam	SD 高达
SDI - Strategic Defense Initiative	SDI - 战略防卫构想
Sea Wolf	海狼
Search Eye	超级找一找 - 搜寻之眼
Section Z	Z 地带
Sega Network Taisen Mahjong	世嘉网络麻将
Sega Rally	世嘉拉力
Sega Skateboarding	世嘉滑板
Sega Ski	世嘉滑雪
Sengoku	战国传承
Sengoku Ace	战国世纪
Senko no Ronde	旋光之轮舞 新版
Shakatto Tambourine	欢乐摇铃
Shanghai	上海
Shikigami no Shiro	式神之城
Shimasho	花札 麻将 ?
Shinobi	超级忍
Shock Troopers	突击骑兵
Shogun Warriors	幕府快打
Shootout Pool	火力撞球
Shuttle Invader	太空侵略者
Side By Side	并驾齐驱
Silent Scope	狙击手
Silkroad	丝绸之路传说
Sky Adventure	天空大冒险
Sky Kid	天堂鸟
Slam Dunk	大灌篮
Slam Masters	摔跤霸王
SNK vs. Capcom	SNK 对 卡普空
Snow Bros.	雪人兄弟
Son Son	西游记
Sonic	索尼克
Sonic Blast Man	音速超人
Sorcer Striker	魔法大作战
Soreike Kokology	心理侦探社
Soul Edge	魂之利刃
