world?	世界?
rev. 6?	修订版 6?
japan?	日本?
alt 2?	替换版 2?
release ?	发行版 ?
rev 3?	修订版 3?
prototype earlier?	原型版 早期?
bootleg?	盗版?
newer?	较新的?
re-release?	再发行版?
hacked?	修改版?
rev. 3?	修订版 3?
alt?	替换版?
rev ?	修订版 ?
prototype?	原型版?
version 1?	版本 1?
unlicensed?	未经授权的?
rev. 1?	修订版 1?
pirate?	盗版?
rev 4?	修订版 4?
revision 1?	修订版 1?
bad header?	文件头坏的?
fds conversion?	FDS 转化版?
original?	原作?
germany?	德国?
rev. b?	修订版 B?
us?	美国?
asia?	亚洲?
euro?	欧?
cracked?	破解版?
version 3?	版本 3?
rev. a?	修订版 A?
france?	法国?
netherlands?	荷兰?
demo?	演示版?
spain?	西班牙?
russian?	俄语?
uk?	英国?
older version?	旧 版本?
peru?	秘鲁?
alt 3?	替换版 3?
russia?	俄罗斯?
version ?	版本 ?
later?	后期?
usa?	美国?
alt disk 1?	替换版 disk 1?
rev 2?	修订版 2?
taiwan?	中国台湾?
rev. 4?	修订版 4?
bad?	坏的?
brazil?	巴西?
europe?	欧洲?
split version?	Split 版本?
alt 4?	替换版 4?
italy?	意大利?
encrypted?	加密?
china?	中国?
fixed?	修复?
hack ?	修改版 ?
incomplete?	不完整的?
rev. 5?	修订版 5?
unprotected?	未保护?
united kingdom?	英国?
hack?	修改版?
rev. 2?	修订版 2?
earlier?	较早的?
korea?	韩国?
protected?	保护版?
test version?	测试 版本?
older?	较老的?
rev 1?	修订版 1?
alt disk 2?	替换版 disk 2?
